year,geography,area_fips,area_title,industry_code,industry_title,own_code,own_title,agglvl_code,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,annual_avg_wkly_wage,avg_annual_pay
2009,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,59,821,23009007,539,28031
2010,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,60,865,24870167,553,28746
2011,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,66,888,24006346,520,27049
2012,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,70,847,23867030,542,28187
2013,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,70,920,25618278,536,27859
2014,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,72,910,27992966,592,30778
2015,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,Performing arts companies,5,Private,46,,82,992,30246473,586,30490
2016,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,NAICS 7111 Performing arts companies,5,Private,46,,87,1004,31289905,599,31160
2017,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,NAICS 7111 Performing arts companies,5,Private,46,,86,1031,35722096,666,34651
2018,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,NAICS 7111 Performing arts companies,5,Private,46,,87,1022,34080321,641,33333
2019,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,NAICS 7111 Performing arts companies,5,Private,46,,88,1002,36671252,704,36610
2020,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,NAICS 7111 Performing arts companies,5,Private,46,,90,618,23677340,736,38287
2021,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,NAICS 7111 Performing arts companies,5,Private,46,,93,656,28900151,847,44050
2022,Austin_RoundRock_MSA,C1242,"Austin-Round Rock, TX MSA",7111,NAICS 7111 Performing arts companies,5,Private,46,,98,1009,41696255,795,41321
2023,Austin_RoundRock_MSA,C1242,"Austin-Round Rock-San Marcos, TX MSA",7111,NAICS 7111 Performing arts companies,5,Private,46,,99,1182,48085759,783,40693
2024,Austin_RoundRock_MSA,C1242,"Austin-Round Rock-San Marcos, TX MSA",7111,NAICS 7111 Performing arts companies,5,Private,46,N,99,0,0,0,0
2001,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,1,Federal Government,56,,2,8,177714,423,21985
2002,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,1,Federal Government,56,,1,7,149219,396,20582
2003,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,1,Federal Government,56,,1,7,149821,388,20201
2004,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,1,Federal Government,56,,1,7,160791,427,22178
2005,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,1,Federal Government,56,,1,7,168735,453,23544
2006,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,1,Federal Government,56,,1,7,174623,458,23812
2007,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,1,Federal Government,56,,1,7,178155,484,25151
2008,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,1,Federal Government,56,,1,7,198194,538,27980
2009,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,1,Federal Government,56,,1,6,171148,581,30203
2010,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,1,Federal Government,56,,1,4,112159,575,29909
2011,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,1,Federal Government,56,,0,0,0,0,0
2014,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,1,Federal Government,56,,1,1,8564,198,10277
2015,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,1,Federal Government,56,,1,1,11428,155,8067
2016,TX_state,48000,Texas -- Statewide,7111,NAICS 7111 Performing arts companies,1,Federal Government,56,,1,1,11148,198,10290
2001,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,394,5946,158344325,512,26633
2002,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,379,5725,156620865,526,27359
2003,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,363,5426,157779455,559,29077
2004,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,364,5339,152267907,548,28520
