SERIALNO,SPORDER,PUMA,ST,ADJINC,PWGTP,AGEP,COW,MAR,SCHL,SEMP,SEX,WAGP,WKHP,WKWN,ESR,HICOV,HISP,OCCP,PERNP,PINCP,PRIVCOV,PUBCOV,RAC1P,occp_label
2021HU1205340,01,05903,48,1193241,8,27,6,1,21,30000,2,0,10,30,1.0,2,01,2752.0,30000,39100,2,2,1,Musicians and Singers
2021HU1205786,03,01903,48,1193241,11,25,2,5,21,0,1,0,,,6.0,1,01,2752.0,0,20,1,2,1,Musicians and Singers
2021HU1208159,02,00502,48,1193241,27,45,6,1,16,3000,1,30900,36,52,1.0,2,02,2905.0,33900,33900,2,2,8,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU1208581,02,06601,48,1193241,24,46,6,1,22,0,2,0,,,6.0,1,02,2910.0,0,0,1,2,8,Photographers
2021HU1208631,02,02003,48,1193241,9,39,6,1,21,50000,1,0,40,52,1.0,1,01,2634.0,50000,69000,2,1,1,Graphic Designers
2021HU1212026,02,00300,48,1193241,69,31,1,1,20,0,1,57000,45,52,1.0,1,01,2634.0,57000,57000,1,2,1,Graphic Designers
2021HU1217852,03,00501,48,1193241,12,18,3,5,18,0,1,0,,,6.0,1,01,2905.0,0,0,1,2,1,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU1218904,01,05308,48,1193241,26,37,6,1,22,6000,2,0,20,1,6.0,1,01,2910.0,6000,6000,1,2,1,Photographers
2021HU1221294,03,03400,48,1193241,6,31,1,5,17,0,2,40000,30,52,1.0,1,01,2850.0,40000,40000,2,1,1,Writers and Authors
2021HU1221489,01,05304,48,1193241,86,36,1,1,22,20000,1,100000,50,52,1.0,1,01,2850.0,120000,120000,1,2,2,Writers and Authors
2021HU1223070,01,05302,48,1193241,22,29,1,1,22,0,1,74000,45,52,1.0,1,01,2905.0,74000,74000,1,2,6,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU1223163,02,04610,48,1193241,10,33,1,5,21,0,1,50000,60,52,1.0,1,01,2710.0,50000,50000,1,2,1,Producers and Directors
2021HU1225491,02,02600,48,1193241,14,70,6,1,19,16000,1,0,22,52,1.0,1,01,2850.0,16000,22400,2,1,1,Writers and Authors
2021HU1226001,02,06000,48,1193241,31,39,1,1,20,0,1,33000,40,36,1.0,1,01,2634.0,33000,48000,1,2,1,Graphic Designers
2021HU1226469,01,03400,48,1193241,4,63,2,5,22,-8400,2,97000,40,52,1.0,1,01,2634.0,88600,88600,1,2,1,Graphic Designers
2021HU1227604,01,04638,48,1193241,29,36,7,1,21,0,1,200000,60,52,1.0,2,01,2634.0,200000,200000,2,2,2,Graphic Designers
2021HU1227874,02,05306,48,1193241,17,52,1,1,21,0,1,158000,40,52,1.0,1,01,2905.0,158000,158000,1,2,1,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU1228806,01,02310,48,1193241,7,32,6,1,18,10000,2,0,40,36,1.0,1,01,2910.0,10000,10000,1,2,1,Photographers
2021HU1229391,01,06100,48,1193241,7,73,6,1,22,0,1,0,,,6.0,1,01,2850.0,0,13130,2,1,1,Writers and Authors
2021HU1230514,02,06805,48,1193241,22,30,6,1,16,0,1,0,,,6.0,1,02,2752.0,0,0,1,2,9,Musicians and Singers
2021HU1231932,01,00900,48,1193241,1,46,1,1,21,8000,1,66000,40,52,1.0,1,01,2905.0,74000,83000,1,2,1,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU1232134,02,04400,48,1193241,13,35,1,1,21,0,1,56000,42,52,1.0,1,01,2634.0,56000,56000,1,2,1,Graphic Designers
2021HU1233353,01,04624,48,1193241,13,65,1,1,20,0,2,18000,18,52,1.0,1,01,2634.0,18000,24000,2,1,1,Graphic Designers
