"fiscal_year","contractor","award"
"2005-09-30T00:00:00.000","Texas Juggling Society","1000"
"2005-09-30T00:00:00.000","Austin Friends of Traditional Music (Chaski-Adrienne Ingliss)","1047"
"2005-09-30T00:00:00.000","Silver Thistle Pipes and Drums","1063"
"2005-09-30T00:00:00.000","African American Arts Technical Resource Center/ Mario Vasquez","1326"
"2005-09-30T00:00:00.000","African American Arts Technical Resource Center/ Roisel Ramirez","1376"
"2005-09-30T00:00:00.000","African American Arts Technical Resource Center/ Carolyn Jones","1460"
"2005-09-30T00:00:00.000","Indian Classical Music Circle of Austin","1551"
"2005-09-30T00:00:00.000","Austin Creative Alliance / Bernadette Nason the Storyteller","1783"
"2005-09-30T00:00:00.000","Austin Poets International, Inc./ Barbara Youngblood Carr","2144"
"2005-09-30T00:00:00.000","Austin Visual Arts Association/ Tim Pipe","2182"
"2005-09-30T00:00:00.000","Austin Visual Arts Association/ Mahalene Louis","2286"
"2005-09-30T00:00:00.000","First Frontier Collage Society","2293"
"2005-09-30T00:00:00.000","The Rhizome Collective","2321"
"2005-09-30T00:00:00.000","African American Arts Technical Resource Center/ Jacob Fontaine Religious Museum","2405"
"2005-09-30T00:00:00.000","Austin Creative Alliance / Wicked Cricket Dance Theater","2601"
"2005-09-30T00:00:00.000","Cine Las Americas/ Youth Liberation Network","2662"
"2005-09-30T00:00:00.000","The NonProfit Center/Michelle Voss","2737"
"2005-09-30T00:00:00.000","Refraction Arts Project/ Lauren K. Tietz of Improvisational Movement Project","2752"
"2005-09-30T00:00:00.000","Austin Chamber Ensemble/ Classical Music Consortium of Austin","2779"
"2005-09-30T00:00:00.000","The NonProfit Center/Tonya Engel","3022"
"2005-09-30T00:00:00.000","Texas Early Music Project","3121"
"2005-09-30T00:00:00.000","Chamber Music Austin","3211"
"2005-09-30T00:00:00.000","Center for Mexican American Cultural Arts, Inc.","3267"
"2005-09-30T00:00:00.000","Film Society of Austin, Inc./ Karen Skloss","3507"
"2005-09-30T00:00:00.000","Spank Dance Company","3524"
"2005-09-30T00:00:00.000","Austin Singers, Inc.","3535"
"2005-09-30T00:00:00.000","Vortex Repertory Company/Lorella Loftus","3794"
"2005-09-30T00:00:00.000","Center for Women & Their Work / Women Printmakers of Austin","3860"
"2005-09-30T00:00:00.000","Center for Women & Their Work / Museum of Ephemerate","3893"
"2005-09-30T00:00:00.000","Austin Creative Alliance / Coda Theater Project","3916"
"2005-09-30T00:00:00.000","Tutto Theatre Company","3916"
"2005-09-30T00:00:00.000","Gilbert & Sullivan Society of Austin, Texas, Inc.","4010"
"2005-09-30T00:00:00.000","Aienla Project","4128"
"2005-09-30T00:00:00.000","Salon Concerts, Inc.","4279"
"2005-09-30T00:00:00.000","Austin Creative Alliance / Gypsy Baby","4139"
"2005-09-30T00:00:00.000","Salvage Vanguard Theater/The Dionysium","4139"
"2005-09-30T00:00:00.000","Austin Children's Choir","4251"
"2005-09-30T00:00:00.000","Austin Traditional Jazz Society","4251"
"2005-09-30T00:00:00.000","Center for Women & Their Work / Michele Owens-Pearce","4251"
"2005-09-30T00:00:00.000","Austin Chamber Ensemble","4259"
"2005-09-30T00:00:00.000","Capital City Men's Chorus","4268"
"2005-09-30T00:00:00.000","Austin Creative Alliance / The Dirigo Group","4292"
"2005-09-30T00:00:00.000","Mexic-Arte Museum/ Kenneth W. Jones","4307"
"2005-09-30T00:00:00.000","Austin Creative Alliance / a chick and a dude productions","4419"
"2005-09-30T00:00:00.000","African American Arts Technical Resource Center/ Versie Smith","4475"
"2005-09-30T00:00:00.000","Ballet East Dance Company/ Proyecto Teatro","4475"
"2005-09-30T00:00:00.000","The Violet Crown Players, Inc.","4475"
"2005-09-30T00:00:00.000","Austin Association of Sculptors","4531"
"2005-09-30T00:00:00.000","Austin Gay & Lesbian International Film Festival/ Best Kept Secret","4531"
"2005-09-30T00:00:00.000","Mexican Community Center of Austin","4531"
"2005-09-30T00:00:00.000","Center for Women & Their Work / David Barker","4562"
"2005-09-30T00:00:00.000","Rude Mechanicals - A Theatre Collective/Herbert Bennett","4562"
"2005-09-30T00:00:00.000","Asian American Community Partnership","4587"
"2005-09-30T00:00:00.000","Center for Women & Their Work / Asian American Community Partnership","4587"
"2005-09-30T00:00:00.000","Austin Playhouse","4692"
"2005-09-30T00:00:00.000","Teatro Vivo","4699"
"2005-09-30T00:00:00.000","Celtic Cultural Center of Texas","4755"
"2005-09-30T00:00:00.000","The Nonprofit Center/Poet on Watch","4755"
"2005-09-30T00:00:00.000","American YouthWorks","4811"
"2005-09-30T00:00:00.000","Pollyanna Theatre Company","4852"
"2005-09-30T00:00:00.000","Austin Civic Orchestra Society","4923"
"2005-09-30T00:00:00.000","Austin Visual Arts Association/ Dr. Christopher Adejumo","4923"
"2005-09-30T00:00:00.000","Conservatory Dance Theatre dba The Austin City Ballet","4923"
"2005-09-30T00:00:00.000","The NonProfit Center/Gin Daniel","4923"
"2005-09-30T00:00:00.000","Save Barton Creek Association/ Bill Oliver","4929"
"2005-09-30T00:00:00.000","Outreach Productions","4979"
"2005-09-30T00:00:00.000","African American Arts Technical Resource Center/ Austin Black Arts Movement","5000"
"2005-09-30T00:00:00.000","African American Arts Technical Resource Center/ Bolm Studios","5000"
"2005-09-30T00:00:00.000","Austin Creative Alliance / Will Taylor & Strings Attached","5000"
"2005-09-30T00:00:00.000","Austin Film Festival, Inc.","5000"
"2005-09-30T00:00:00.000","Austin Museum of Digital Art","5000"
"2005-09-30T00:00:00.000","Austin Scottish Rite Community & Childrens's Theatre (formerly Scottish Rite Children's Theatre and formerly Austin Scottish Rite Co.)","5000"
"2005-09-30T00:00:00.000","Ballet East Dance Company/ Melissa Villarreal","5000"
"2005-09-30T00:00:00.000","Center for Women & Their Work / Amie Maciszewski","5000"
"2005-09-30T00:00:00.000","Classical Guitar Alive","5000"
"2005-09-30T00:00:00.000","Film Society of Austin, Inc./ Anne Lewis","5000"
"2005-09-30T00:00:00.000","Film Society of Austin, Inc./ Ellen Spiro","5000"
"2005-09-30T00:00:00.000","Film Society of Austin, Inc./ Heather Courtney","5000"
"2005-09-30T00:00:00.000","Film Society of Austin, Inc./ Margaret Brown","5000"
"2005-09-30T00:00:00.000","International Cinematexas Short Film Festival","5000"
"2005-09-30T00:00:00.000","Knowbility, Inc.","5000"
"2005-09-30T00:00:00.000","Lannaya aka Lannaya West African Drum and Dance Ensemble","5000"
"2005-09-30T00:00:00.000","Latinas Unidas Por el Arte (LUPE Arte)/Austin Latino Theatre Alliance","5000"
"2005-09-30T00:00:00.000","One World/ Emily Dedear","5000"
"2005-09-30T00:00:00.000","One World/ Kalinka","5000"
"2005-09-30T00:00:00.000","One World/ Mohammad Firoozi","5000"
"2005-09-30T00:00:00.000","One World/ Oliver Rajamani","5000"
"2005-09-30T00:00:00.000","One World/ Sergey Vashchenko","5000"
"2005-09-30T00:00:00.000","Rude Mechanicals - A Theatre Collective/Glover Gill","5000"
"2005-09-30T00:00:00.000","Texas Folklife Resources/ Texas Folkmasters","5000"
"2005-09-30T00:00:00.000","Texas Music Museum","5035"
"2005-09-30T00:00:00.000","Performance Encounters","5082"
"2005-09-30T00:00:00.000","Austin Celtic Association, Inc.","5090"
"2005-09-30T00:00:00.000","Golden Hornet Project, Inc.","5090"
"2005-09-30T00:00:00.000","Tips on Art","5125"
"2005-09-30T00:00:00.000","Allison Orr Dance Inc. aka Forklift Dance Works","5258"
"2005-09-30T00:00:00.000","Austin Symphonic Band","5365"
"2005-09-30T00:00:00.000","Austin Area Art from the Streets","5417"
"2005-09-30T00:00:00.000","Vortex Repertory Company/Ethos AKA Chad Salvata","5495"
"2005-09-30T00:00:00.000","Center for Maximum Potential Building Systems, Inc./ Peter Struble","5911"
"2005-09-30T00:00:00.000","Austin Poetry Slam","6081"
"2005-09-30T00:00:00.000","Red Salmon Arts/ Daniel Llanes","6477"
"2005-09-30T00:00:00.000","The NonProfit Center","6586"
"2005-09-30T00:00:00.000","Hyde Park Theatre/ MS/Nerve Dance Co.","6847"
"2005-09-30T00:00:00.000","Refraction Arts Project","7264"
"2005-09-30T00:00:00.000","Borderlands Texas Poetry aka Texas Poetry Review (also Ramona Cearley)","7335"
"2005-09-30T00:00:00.000","Texas Democracy Foundation","7466"
"2005-09-30T00:00:00.000","Austin Classical Guitar","7538"
"2005-09-30T00:00:00.000","Austin Poets International, Inc./ Austin International Poetry Festival","7897"
"2005-09-30T00:00:00.000","Dance International","8151"
"2005-09-30T00:00:00.000","Puerto Rican Folkloric Dance, Inc.","8229"
"2005-09-30T00:00:00.000","Mexic-Arte Museum/ Robert Rodriguez","8542"
"2005-09-30T00:00:00.000","Austin Creative Alliance / Anuradha Naimpally","8747"
"2005-09-30T00:00:00.000","Austin Creative Alliance / Tongue & Groove Theatre","8954"
"2005-09-30T00:00:00.000","Different Stages, Inc.","9086"
"2005-09-30T00:00:00.000","One World/ Sabrina Barker","9159"
"2005-09-30T00:00:00.000","Texas Nafas","9222"
"2005-09-30T00:00:00.000","Austin Creative Alliance / Bob Livingston","9262"
"2005-09-30T00:00:00.000","STILLPOINT Dance","9388"
"2005-09-30T00:00:00.000","Film Society of Austin, Inc./ Karen Kocher","9776"
"2005-09-30T00:00:00.000","Austin Dance Ensemble","9842"
"2005-09-30T00:00:00.000","Austin Script Works aka Austin Scriptworks","10469"
"2005-09-30T00:00:00.000","Second Youth","10789"
"2005-09-30T00:00:00.000","Anthropos Arts","10862"
"2005-09-30T00:00:00.000","Indigenous Women's Network","11855"
"2005-09-30T00:00:00.000","Austin Visual Arts Association","11961"
"2005-09-30T00:00:00.000","Wax Track Gallery International","12187"
"2005-09-30T00:00:00.000","Kathy Dunn Hamrick Dance Co.","12422"
"2005-09-30T00:00:00.000","Leadership Enrichment Arts Program","12596"
"2005-09-30T00:00:00.000","Motion Media Arts Center aka The Austin School of Film","13111"
"2005-09-30T00:00:00.000","Austin Community Foundation/ Austin Music Network","13310"
"2005-09-30T00:00:00.000","Austin Jazz Workshop, Inc.","13313"
"2005-09-30T00:00:00.000","One World/ Julian Goldstein","13644"
"2005-09-30T00:00:00.000","Inside Out Steelband","13897"
"2005-09-30T00:00:00.000","Mexic-Arte Museum/ Johnny Degollado (AKA Austin Conjunto Festival)","14159"
"2005-09-30T00:00:00.000","One World/ Nada Stearns","14159"
"2005-09-30T00:00:00.000","Chorus Austin","14262"
"2005-09-30T00:00:00.000","Art Spark Texas/ Accessible Arts School Outreach","14947"
"2005-09-30T00:00:00.000","Texas Education Broadcasting Co-Operative, Inc. (KOOP RADIO 91.7FM)","15497"
"2005-09-30T00:00:00.000","Great Promise for American Indians, Inc.","15906"
"2005-09-30T00:00:00.000","Reel Women","16114"
"2005-09-30T00:00:00.000","Austin Shakespeare Festival","17031"
"2005-09-30T00:00:00.000","Zilker Theatre Productions","18318"
"2005-09-30T00:00:00.000","Latinas Unidas Por el Arte (LUPE Arte)","18730"
"2005-09-30T00:00:00.000","Women in Jazz Association","18747"
"2005-09-30T00:00:00.000","Art Spark Texas","19553"
"2005-09-30T00:00:00.000","Ariel Dance Theatre","19739"
"2005-09-30T00:00:00.000","Chamber Soloists of Austin, Inc.","20373"
"2005-09-30T00:00:00.000","Creative Action","20404"
"2005-09-30T00:00:00.000","Writer's League of Texas","22412"
"2005-09-30T00:00:00.000","Austin Chamber Music Center, Inc.","22518"
"2005-09-30T00:00:00.000","Imagine Art, Inc.","22625"
"2005-09-30T00:00:00.000","Austin Latino/a Lesbian & Gay Organization AKA allgo","23001"
"2005-09-30T00:00:00.000","Blue Lapis Light, Inc.","26663"
"2005-09-30T00:00:00.000","Conspirare, Inc.","27667"
"2005-09-30T00:00:00.000","Red Salmon Arts","27753"
"2005-09-30T00:00:00.000","Vortex Repertory Company","27786"
"2005-09-30T00:00:00.000","Teatro Humanidad Cansada","28095"
"2005-09-30T00:00:00.000","Academia (Aztlan) De Danza Y Folklore","28261"
"2005-09-30T00:00:00.000","Center for Women & Their Work / Diverse Arts (also Harold McMillan)","28403"
"2005-09-30T00:00:00.000","Salvage Vanguard Theatre","28403"
"2005-09-30T00:00:00.000","Creative Opportunity Orchestra, Inc.","29305"
"2005-09-30T00:00:00.000","Cine Las Americas","29638"
"2005-09-30T00:00:00.000","A. Mozart Fest","30234"
"2005-09-30T00:00:00.000","Rude Mechanicals - A Theatre Collective","31222"
"2005-09-30T00:00:00.000","Roy Lozano's Ballet Folklorico de Texas","31857"
"2005-09-30T00:00:00.000","Ballet East Dance Company","32477"
"2005-09-30T00:00:00.000","Hyde Park Theatre","32495"
"2005-09-30T00:00:00.000","African American Arts Technical Resource Center","33524"
"2005-09-30T00:00:00.000","Serie Project, Inc.","33805"
"2005-09-30T00:00:00.000","Austin Creative Alliance","33840"
"2005-09-30T00:00:00.000","Progressive Arts Collective","34759"
"2005-09-30T00:00:00.000","Sharir + Bustamante Danceworks","36184"
"2005-09-30T00:00:00.000","Dance Umbrella","36438"
"2005-09-30T00:00:00.000","Texas Folklife Resources","37141"
"2005-09-30T00:00:00.000","Zachary Scott Theatre Center","39150"
"2005-09-30T00:00:00.000","Visions in Rhythm aka Tapestry Dance Company","39884"
"2005-09-30T00:00:00.000","Johnson/Long Dance Company","41477"
"2005-09-30T00:00:00.000","La Peña","43712"
"2005-09-30T00:00:00.000","One World","44677"
"2005-09-30T00:00:00.000","Arthouse at the Jones Center (merged into AMOA during FY2012)","46889"
"2005-09-30T00:00:00.000","Austin Children's Museum DBA Thinkery","48547"
"2005-09-30T00:00:00.000","Center For Women & Their Work","48921"
"2005-09-30T00:00:00.000","Film Society of Austin, Inc.","52855"
"2005-09-30T00:00:00.000","Mexic-Arte Museum","62302"
"2005-09-30T00:00:00.000","Ballet Austin, Inc.","65330"
"2005-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","70745"
"2005-09-30T00:00:00.000","Austin Lyric Opera dba Austin Opera","81629"
"2005-09-30T00:00:00.000","Austin Symphony Orchestra Society, Inc.","84350"
"2005-09-30T00:00:00.000","The Contemporary Austin Museum Inc","89815"
"2006-09-30T00:00:00.000","Russian Speakers Society","1000"
"2006-09-30T00:00:00.000","Arts Entertainment Group, Inc.","1025"
"2006-09-30T00:00:00.000","Austin Civic Wind Ensemble","1050"
"2006-09-30T00:00:00.000","Refraction Arts Project/ Open Doors Collective","1325"
"2006-09-30T00:00:00.000","River City Pops","1325"
"2006-09-30T00:00:00.000","Texas Death Penalty Education and Resource Center","1325"
"2006-09-30T00:00:00.000","Center for Women & Their Work / Philippine Arts & Cultural Group","1600"
"2006-09-30T00:00:00.000","Texas Juggling Society","1800"
"2006-09-30T00:00:00.000","Austin Creative Alliance / Bayou Radio","1850"
"2006-09-30T00:00:00.000","Center for Women & Their Work / Iron Gate Studios","1850"
"2006-09-30T00:00:00.000","The Rhizome Collective","2089"
"2006-09-30T00:00:00.000","Austin Creative Alliance / Wicked Cricket Dance Theater","2341"
"2006-09-30T00:00:00.000","Austin Creative Alliance / Cosmic Intuition Productions","2375"
"2006-09-30T00:00:00.000","Badgerdog Literary Publishing","2375"
"2006-09-30T00:00:00.000","Silver Thistle Pipes and Drums","2500"
"2006-09-30T00:00:00.000","Austin Chamber Ensemble/ Classical Music Consortium of Austin","2501"
"2006-09-30T00:00:00.000","Austin Latino Music Association","2900"
"2006-09-30T00:00:00.000","Austin Summer Musical for Children","2900"
"2006-09-30T00:00:00.000","Austin Young Artists Concert","2900"
"2006-09-30T00:00:00.000","African American Arts Technical Resource Center/ Roisel Ramirez","3000"
"2006-09-30T00:00:00.000","African American Arts Technical Resource Center/ Versie Smith","3000"
"2006-09-30T00:00:00.000","Indian Classical Music Circle of Austin","3150"
"2006-09-30T00:00:00.000","Austin Singers, Inc.","3500"
"2006-09-30T00:00:00.000","Aienla Project","3715"
"2006-09-30T00:00:00.000","Center for Women & Their Work / Women Printmakers of Austin","3737"
"2006-09-30T00:00:00.000","Austin Creative Alliance / Bernadette Nason the Storyteller","3750"
"2006-09-30T00:00:00.000","Center for Mexican American Cultural Arts, Inc.","3753"
"2006-09-30T00:00:00.000","Austin Chamber Ensemble","3833"
"2006-09-30T00:00:00.000","Austin Creative Alliance / The Dirigo Group","3863"
"2006-09-30T00:00:00.000","Austin Music Foundation","3950"
"2006-09-30T00:00:00.000","Austin New Music Corporation (Co-op)","3950"
"2006-09-30T00:00:00.000","Salvage Vanguard Theater/Gnap! Theater Projects","3950"
"2006-09-30T00:00:00.000","Austin Creative Alliance / a chick and a dude productions","3977"
"2006-09-30T00:00:00.000","Austin Creative Alliance / Coda Theater Project","4000"
"2006-09-30T00:00:00.000","Austin Visual Arts Association/ Tim Pipe","4000"
"2006-09-30T00:00:00.000","Center for Women & Their Work / Museum of Ephemerate","4000"
"2006-09-30T00:00:00.000","Film Society of Austin, Inc./ Karen Skloss","4000"
"2006-09-30T00:00:00.000","Refraction Arts Project/ Lauren K. Tietz of Improvisational Movement Project","4000"
"2006-09-30T00:00:00.000","Salvage Vanguard Theater/The Dionysium","4000"
"2006-09-30T00:00:00.000","Tutto Theatre Company","4000"
"2006-09-30T00:00:00.000","Vortex Repertory Company/Lorella Loftus","4000"
"2006-09-30T00:00:00.000","Mexican Community Center of Austin","4078"
"2006-09-30T00:00:00.000","Teatro Vivo","4229"
"2006-09-30T00:00:00.000","Celtic Cultural Center of Texas","4280"
"2006-09-30T00:00:00.000","Pollyanna Theatre Company","4367"
"2006-09-30T00:00:00.000","Imagine Art, Inc./ Theron Parker-ABC ASL","4475"
"2006-09-30T00:00:00.000","India Fine Arts","4475"
"2006-09-30T00:00:00.000","African American Arts Technical Resource Center/ Jacob Fontaine Religious Museum","4500"
"2006-09-30T00:00:00.000","American YouthWorks","4500"
"2006-09-30T00:00:00.000","Austin Scottish Rite Community & Childrens's Theatre (formerly Scottish Rite Children's Theatre and formerly Austin Scottish Rite Co.)","4500"
"2006-09-30T00:00:00.000","Classical Guitar Alive","4500"
"2006-09-30T00:00:00.000","Lannaya aka Lannaya West African Drum and Dance Ensemble","4500"
"2006-09-30T00:00:00.000","Latinas Unidas Por el Arte (LUPE Arte)/Austin Latino Theatre Alliance","4500"
"2006-09-30T00:00:00.000","One World/ Emily Dedear","4500"
"2006-09-30T00:00:00.000","One World/ Kalinka","4500"
"2006-09-30T00:00:00.000","One World/ Mohammad Firoozi","4500"
"2006-09-30T00:00:00.000","Texas Folklife Resources/ Texas Folkmasters","4500"
"2006-09-30T00:00:00.000","The NonProfit Center/Gin Daniel","4500"
"2006-09-30T00:00:00.000","The Nonprofit Center/Poet on Watch","4500"
"2006-09-30T00:00:00.000","Texas Music Museum","4532"
"2006-09-30T00:00:00.000","Austin Celtic Association, Inc.","4581"
"2006-09-30T00:00:00.000","Tips on Art","4613"
"2006-09-30T00:00:00.000","Allison Orr Dance Inc. aka Forklift Dance Works","4732"
"2006-09-30T00:00:00.000","Austin Poets International, Inc./ Barbara Youngblood Carr","4850"
"2006-09-30T00:00:00.000","Vortex Repertory Company/Ethos AKA Chad Salvata","4946"
"2006-09-30T00:00:00.000","Film Society of Austin, Inc./ Anne Lewis","5000"
"2006-09-30T00:00:00.000","First Frontier Collage Society","5000"
"2006-09-30T00:00:00.000","Physical Plant Theatre","5000"
"2006-09-30T00:00:00.000","Ballet East Dance Company/ Proyecto Teatro","5324"
"2006-09-30T00:00:00.000","Center for Women & Their Work / Amie Maciszewski","5500"
"2006-09-30T00:00:00.000","Knowbility, Inc.","5500"
"2006-09-30T00:00:00.000","Spank Dance Company","5500"
"2006-09-30T00:00:00.000","Austin Traditional Jazz Society","5664"
"2006-09-30T00:00:00.000","Save Barton Creek Association/ Bill Oliver","5880"
"2006-09-30T00:00:00.000","Golden Hornet Project, Inc.","6000"
"2006-09-30T00:00:00.000","Mexic-Arte Museum/ Kenneth W. Jones","6000"
"2006-09-30T00:00:00.000","Texas Early Music Project","6000"
"2006-09-30T00:00:00.000","Hyde Park Theatre/ MS/Nerve Dance Co.","6162"
"2006-09-30T00:00:00.000","Austin Museum of Digital Art","6500"
"2006-09-30T00:00:00.000","Chamber Music Austin","6500"
"2006-09-30T00:00:00.000","African American Arts Technical Resource Center/ Bolm Studios","7000"
"2006-09-30T00:00:00.000","Austin Visual Arts Association/ Dr. Christopher Adejumo","7000"
"2006-09-30T00:00:00.000","Ballet East Dance Company/ Melissa Villarreal","7000"
"2006-09-30T00:00:00.000","International Cinematexas Short Film Festival","7000"
"2006-09-30T00:00:00.000","One World/ Oliver Rajamani","7000"
"2006-09-30T00:00:00.000","Cine Las Americas/ Youth Liberation Network","7080"
"2006-09-30T00:00:00.000","The Violet Crown Players, Inc.","7228"
"2006-09-30T00:00:00.000","Austin Poets International, Inc./ Austin International Poetry Festival","7498"
"2006-09-30T00:00:00.000","Austin Film Festival, Inc.","7500"
"2006-09-30T00:00:00.000","Center for Maximum Potential Building Systems, Inc./ Peter Struble","7500"
"2006-09-30T00:00:00.000","Performance Encounters","7500"
"2006-09-30T00:00:00.000","Red Salmon Arts/ Daniel Llanes","7500"
"2006-09-30T00:00:00.000","Rude Mechanicals - A Theatre Collective/Herbert Bennett","7500"
"2006-09-30T00:00:00.000","The NonProfit Center/Allison Foster","7500"
"2006-09-30T00:00:00.000","The NonProfit Center/Michelle Voss","7500"
"2006-09-30T00:00:00.000","Mexic-Arte Museum/ Robert Rodriguez","7688"
"2006-09-30T00:00:00.000","Austin Symphonic Band","8000"
"2006-09-30T00:00:00.000","Center for Women & Their Work / Michele Owens-Pearce","8000"
"2006-09-30T00:00:00.000","Texas Nafas","8300"
"2006-09-30T00:00:00.000","STILLPOINT Dance","8449"
"2006-09-30T00:00:00.000","Salon Concerts, Inc.","8470"
"2006-09-30T00:00:00.000","Asian American Community Partnership","8500"
"2006-09-30T00:00:00.000","Center for Women & Their Work / Asian American Community Partnership","8500"
"2006-09-30T00:00:00.000","Different Stages, Inc.","8500"
"2006-09-30T00:00:00.000","The NonProfit Center","8500"
"2006-09-30T00:00:00.000","Capital City Men's Chorus","8670"
"2006-09-30T00:00:00.000","Anthropos Arts","9776"
"2006-09-30T00:00:00.000","Austin Creative Alliance / Tongue & Groove Theatre","9827"
"2006-09-30T00:00:00.000","Austin Children's Choir","10000"
"2006-09-30T00:00:00.000","Austin Civic Orchestra Society","10000"
"2006-09-30T00:00:00.000","Austin Creative Alliance / Anuradha Naimpally","10000"
"2006-09-30T00:00:00.000","Austin Poetry Slam","10000"
"2006-09-30T00:00:00.000","Conservatory Dance Theatre dba The Austin City Ballet","10000"
"2006-09-30T00:00:00.000","Film Society of Austin, Inc./ Heather Courtney","10000"
"2006-09-30T00:00:00.000","One World/ Sabrina Barker","10000"
"2006-09-30T00:00:00.000","Outreach Productions","10000"
"2006-09-30T00:00:00.000","Texas Democracy Foundation","10000"
"2006-09-30T00:00:00.000","Borderlands Texas Poetry aka Texas Poetry Review (also Ramona Cearley)","10532"
"2006-09-30T00:00:00.000","Second Youth","10789"
"2006-09-30T00:00:00.000","Austin Dance Ensemble","11000"
"2006-09-30T00:00:00.000","Kathy Dunn Hamrick Dance Co.","11180"
"2006-09-30T00:00:00.000","One World/ Julian Goldstein","12280"
"2006-09-30T00:00:00.000","Austin Creative Alliance / Bob Livingston","12500"
"2006-09-30T00:00:00.000","Dance International","12500"
"2006-09-30T00:00:00.000","Mexic-Arte Museum/ Johnny Degollado (AKA Austin Conjunto Festival)","12743"
"2006-09-30T00:00:00.000","One World/ Nada Stearns","12743"
"2006-09-30T00:00:00.000","Inside Out Steelband","13000"
"2006-09-30T00:00:00.000","Austin Area Art from the Streets","14000"
"2006-09-30T00:00:00.000","Film Society of Austin, Inc./ Karen Kocher","14657"
"2006-09-30T00:00:00.000","Wax Track Gallery International","15129"
"2006-09-30T00:00:00.000","Austin Visual Arts Association","15848"
"2006-09-30T00:00:00.000","Indigenous Women's Network","16000"
"2006-09-30T00:00:00.000","Art Spark Texas/ Accessible Arts School Outreach","16448"
"2006-09-30T00:00:00.000","Latinas Unidas Por el Arte (LUPE Arte)","16857"
"2006-09-30T00:00:00.000","Austin Script Works aka Austin Scriptworks","17706"
"2006-09-30T00:00:00.000","Austin Classical Guitar","17731"
"2006-09-30T00:00:00.000","Ariel Dance Theatre","17765"
"2006-09-30T00:00:00.000","Puerto Rican Folkloric Dance, Inc.","18174"
"2006-09-30T00:00:00.000","Chamber Soloists of Austin, Inc.","18336"
"2006-09-30T00:00:00.000","Gilbert & Sullivan Society of Austin, Texas, Inc.","18341"
"2006-09-30T00:00:00.000","Leadership Enrichment Arts Program","18500"
"2006-09-30T00:00:00.000","Texas Education Broadcasting Co-Operative, Inc. (KOOP RADIO 91.7FM)","18500"
"2006-09-30T00:00:00.000","Women in Jazz Association","18500"
"2006-09-30T00:00:00.000","Motion Media Arts Center aka The Austin School of Film","20123"
"2006-09-30T00:00:00.000","Imagine Art, Inc.","20363"
"2006-09-30T00:00:00.000","Chorus Austin","21000"
"2006-09-30T00:00:00.000","Creative Action","21000"
"2006-09-30T00:00:00.000","Reel Women","21000"
"2006-09-30T00:00:00.000","Great Promise for American Indians, Inc.","22000"
"2006-09-30T00:00:00.000","Austin Latino/a Lesbian & Gay Organization AKA allgo","22500"
"2006-09-30T00:00:00.000","Blue Lapis Light, Inc.","23997"
"2006-09-30T00:00:00.000","Red Salmon Arts","24978"
"2006-09-30T00:00:00.000","Austin Jazz Workshop, Inc.","25000"
"2006-09-30T00:00:00.000","A. Mozart Fest","27211"
"2006-09-30T00:00:00.000","Roy Lozano's Ballet Folklorico de Texas","28671"
"2006-09-30T00:00:00.000","Vortex Repertory Company","29000"
"2006-09-30T00:00:00.000","Ballet East Dance Company","29229"
"2006-09-30T00:00:00.000","Academia (Aztlan) De Danza Y Folklore","30000"
"2006-09-30T00:00:00.000","African American Arts Technical Resource Center","30172"
"2006-09-30T00:00:00.000","Serie Project, Inc.","30425"
"2006-09-30T00:00:00.000","Center for Women & Their Work / Diverse Arts (also Harold McMillan)","31000"
"2006-09-30T00:00:00.000","Creative Opportunity Orchestra, Inc.","31000"
"2006-09-30T00:00:00.000","Sharir + Bustamante Danceworks","32566"
"2006-09-30T00:00:00.000","Refraction Arts Project","33000"
"2006-09-30T00:00:00.000","Dance Umbrella","34000"
"2006-09-30T00:00:00.000","Cine Las Americas","35000"
"2006-09-30T00:00:00.000","Johnson/Long Dance Company","37329"
"2006-09-30T00:00:00.000","Hyde Park Theatre","39000"
"2006-09-30T00:00:00.000","Zilker Theatre Productions","39000"
"2006-09-30T00:00:00.000","Salvage Vanguard Theatre","39797"
"2006-09-30T00:00:00.000","La Peña","40721"
"2006-09-30T00:00:00.000","Progressive Arts Collective","45000"
"2006-09-30T00:00:00.000","Writer's League of Texas","45000"
"2006-09-30T00:00:00.000","Teatro Humanidad Cansada","48095"
"2006-09-30T00:00:00.000","Art Spark Texas","50000"
"2006-09-30T00:00:00.000","Austin Creative Alliance","50413"
"2006-09-30T00:00:00.000","Austin Shakespeare Festival","51292"
"2006-09-30T00:00:00.000","Rude Mechanicals - A Theatre Collective","53447"
"2006-09-30T00:00:00.000","Austin Playhouse","57858"
"2006-09-30T00:00:00.000","Texas Folklife Resources","59814"
"2006-09-30T00:00:00.000","Visions in Rhythm aka Tapestry Dance Company","64000"
"2006-09-30T00:00:00.000","Austin Chamber Music Center, Inc.","66000"
"2006-09-30T00:00:00.000","Center For Women & Their Work","69000"
"2006-09-30T00:00:00.000","Conspirare, Inc.","70000"
"2006-09-30T00:00:00.000","Austin Theatre Alliance (formerly Paramount Theatre and State Theatre)","78000"
"2006-09-30T00:00:00.000","Mexic-Arte Museum","78000"
"2006-09-30T00:00:00.000","Arthouse at the Jones Center (merged into AMOA during FY2012)","80000"
"2006-09-30T00:00:00.000","Austin Children's Museum DBA Thinkery","83000"
