total_awarded_usd,recipient_name,recipient_name_raw,address,city,state,zip,entity_type,awarded_date
5458875.4,Texas Cinema Corporation,Texas Cinema Corporation - SVOG,1250 WONDER WORLD DRIVE,San Marcos,TX,78666,Motion picture theater operator,2021-09-02
5288276.24,Perot Museum of Nature and Science,Perot Museum of Nature and Science - SVOG,2201 N. Field Street,Dallas,TX,75201,Museum Operator,2021-07-28
5154865,"Dallas Backup, Inc.","Dallas Backup, Inc. - SVOG",8721 Forney Rd,Dallas,TX,75227,Theatrical producer,2021-09-02
5139759.31,Triple Tap Alamo LaCenterra LLC,Triple Tap Alamo LaCenterra LLC - SVOG,2707 Commercial Center Blvd STE K100,Katy,TX,77007,Motion picture theater operator,2021-08-10
5124674.65,Dallas County Historical Foundation dba The Sixth Floor Museum at Deal,Dallas County Historical Foundation dba The Sixth Floor Museum at Deal - SVOG,411 Elm Street,Dallas,TX,75202,Museum Operator,2021-09-28
5114203.5,Irving Theater Operations,Irving Theater Operations - SVOG,8505 Walton Blvd,Irving,TX,75063,Motion picture theater operator,2022-04-04
5018895.58,"Stubbs Austin Restaurant Co.,LC","Stubbs Austin Restaurant Co.,LC - SVOG",801 Red River St.,Austin,TX,78701,Live venue operator or promoter,2021-07-27
4923049.8,New York CI LLC,New York CI LLC - SVOG,14951 N Dallas Pkwy Suite 300,Dallas,TX,75254,Motion picture theater operator,2021-08-24
4899897.33,Flix Brewhouse Texas V LLC,Flix Brewhouse Texas V LLC - SVOG,"2000 S Interstate 35, STE Q11",Round Rock,TX,78681,Motion picture theater operator,2021-08-01
4758449.63,"LOOK Prestonwood Holdings, LLC","LOOK Prestonwood Holdings, LLC - SVOG",5409 Beltline,Dallas,TX,75254,Motion picture theater operator,2021-07-30
4724513.33,Violet Crown Cinemas LLC,Violet Crown Cinemas LLC - SVOG,1614 W. 5th Street,Austin,TX,78703,Motion picture theater operator,2021-07-10
4656289.05,SCG-B Inc.,SCG-B Inc. - SVOG,702 Baybrook Mall,Friendswood,TX,77546,Motion picture theater operator,2021-08-21
4555074.64,"El Paso Texas Alamo Operations, LLC","El Paso Texas Alamo Operations, LLC - SVOG",250 E Montecillo Blvd,El Paso,TX,77007,Motion picture theater operator,2021-08-10
4488237.68,"The Children's Museum, Inc.","The Children's Museum, Inc. - SVOG",1500 Binz,Houston,TX,77004,Museum Operator,2021-07-16
