commodity,year,real_gross_output_millions_chained_2017usd
Museums - History,2009,281.22392050582727
Museums - History,2010,262.3018227067511
Museums - History,2011,265.4642287102102
Museums - History,2012,300.72230207108123
Museums - History,2013,356.9333937129476
Museums - History,2014,415.34704847207837
Museums - History,2015,441.1608590501451
Museums - History,2016,489.74029890991
Museums - History,2017,574.3403789740688
Museums - History,2018,589.5785257492796
Museums - History,2019,626.3782552507922
Museums - History,2020,578.7768202307725
Museums - History,2021,600.2764904350446
Museums - History,2022,574.4593387267407
Museums - History,2023,601.9780382817828
Museums - Natural,1998,1163.1211557068284
Museums - Natural,1999,1260.0986828312518
Museums - Natural,2000,1416.5940158705182
Museums - Natural,2001,1614.1378253460778
Museums - Natural,2002,1677.3100956807455
Museums - Natural,2003,1744.3151990190474
Museums - Natural,2004,1751.40740943003
Museums - Natural,2005,1841.1497100796169
Museums - Natural,2006,1925.095372849374
Museums - Natural,2007,2134.3362429014683
Museums - Natural,2008,2228.868544115122
Museums - Natural,2009,2249.791364046618
Museums - Natural,2010,2098.414581654009
Museums - Natural,2011,2123.7138296816815
Museums - Natural,2012,2405.77841656865
Museums - Natural,2013,2855.4671497035633
Museums - Natural,2014,3322.7763877765724
Museums - Natural,2015,3529.286872401087
Museums - Natural,2016,3917.9223912793173
Museums - Natural,2017,4594.7230317925505
Museums - Natural,2018,4716.628205994238
Museums - Natural,2019,5011.026042006339
Museums - Natural,2020,4630.21456184618
Museums - Natural,2021,4802.211923480356
Museums - Natural,2022,4595.674709813922
Museums - Natural,2023,4815.82430625426
Museums - Nature Parks,1998,3949.6217596167535
Museums - Nature Parks,1999,4257.21822879245
Museums - Nature Parks,2000,4591.204018080731
Museums - Nature Parks,2001,4995.327310602019
Museums - Nature Parks,2002,5396.530397722213
Museums - Nature Parks,2003,5072.139515340087
Museums - Nature Parks,2004,4837.762976466066
Museums - Nature Parks,2005,4664.075854561552
Museums - Nature Parks,2006,4545.771374693268
Museums - Nature Parks,2007,4367.337300704599
Museums - Nature Parks,2008,4510.110924423954
Museums - Nature Parks,2009,4482.453255517532
Museums - Nature Parks,2010,4375.9910037339805
Museums - Nature Parks,2011,4235.812595137556
Museums - Nature Parks,2012,4203.946699385272
Museums - Nature Parks,2013,4412.25121524183
Museums - Nature Parks,2014,4615.40188529594
Museums - Nature Parks,2015,4828.51894263516
Museums - Nature Parks,2016,5136.600107677605
Museums - Nature Parks,2017,5082.920567709261
Museums - Nature Parks,2018,5251.294123678467
Museums - Nature Parks,2019,5488.915653940429
Museums - Nature Parks,2020,5589.549231463657
Museums - Nature Parks,2021,5815.014453605577
Museums - Nature Parks,2022,6028.845947564284
Museums - Nature Parks,2023,6138.192205446419
Museums - Science,1998,1163.1211557068284
Museums - Science,1999,1260.0986828312518
Museums - Science,2000,1416.5940158705182
Museums - Science,2001,1614.1378253460778
Museums - Science,2002,1677.3100956807455
Museums - Science,2003,1744.3151990190474
Museums - Science,2004,1751.40740943003
Museums - Science,2005,1841.1497100796169
Museums - Science,2006,1925.095372849374
Museums - Science,2007,2134.3362429014683
Museums - Science,2008,2228.868544115122
Museums - Science,2009,2249.791364046618
Museums - Science,2010,2098.414581654009
Museums - Science,2011,2123.7138296816815
Museums - Science,2012,2405.77841656865
Museums - Science,2013,2855.4671497035633
Museums - Science,2014,3322.7763877765724
Museums - Science,2015,3529.286872401087
Museums - Science,2016,3917.9223912793173
Museums - Science,2017,4594.7230317925505
Museums - Science,2018,4716.628205994238
Museums - Science,2019,5011.026042006339
Museums - Science,2020,4630.21456184618
Museums - Science,2021,4802.211923480356
Museums - Science,2022,4595.674709813922
Museums - Science,2023,4815.82430625426
Museums - Other,1998,181.73768057919204
Museums - Other,1999,196.8904191923832
Museums - Other,2000,221.34281497976858
Museums - Other,2001,252.20903521032454
Museums - Other,2002,262.07970245011694
Museums - Other,2003,272.5492498467263
Museums - Other,2004,273.6574077234428
Museums - Other,2005,287.67964219994053
Museums - Other,2006,300.79615200771593
Museums - Other,2007,333.4900379533553
Museums - Other,2008,348.2607100179881
Museums - Other,2009,351.52990063228435
Museums - Other,2010,327.87727838343835
Museums - Other,2011,331.8302858877625
Museums - Other,2012,375.90287758885125
Museums - Other,2013,446.1667421411766
Museums - Other,2014,519.1838105900932
Museums - Other,2015,551.4510738126633
Museums - Other,2016,612.1753736373967
Museums - Other,2017,717.9254737175863
Museums - Other,2018,736.9731571866001
Museums - Other,2019,782.9728190634909
Museums - Other,2020,723.4710252884651
Museums - Other,2021,750.3456130438047
Museums - Other,2022,718.0741734084248
Museums - Other,2023,752.472547852228
Design services,1998,222823.73656369562
Design services,1999,240186.1632986239
Design services,2000,264323.8034518294
Design services,2001,259439.60060409247
Design services,2002,255646.5585911608
Design services,2003,260532.70817320587
Design services,2004,274516.07233581634
Design services,2005,284925.00953155657
Design services,2006,295179.0797660561
Design services,2007,307506.0721313549
Design services,2008,308123.0682769931
Design services,2009,274689.807888103
Design services,2010,278007.37725150137
Design services,2011,287413.6046616609
Design services,2012,301768.62558156817
Design services,2013,306690.91168287443
Design services,2014,326497.56310093915
Design services,2015,343551.58396935894
Design services,2016,369921.05368712364
Design services,2017,385670.4557796737
Design services,2018,416923.85973445093
Design services,2019,439708.9235984259
Design services,2020,448606.6219634672
Design services,2021,521335.45903309894
Design services,2022,567475.6507965743
Design services,2023,590668.8186504553
Advertising,1998,154410.3169001738
Advertising,1999,170164.38136805053
Advertising,2000,190883.68177402485
Advertising,2001,186842.89780626836
Advertising,2002,187963.56552775454
Advertising,2003,190569.50881944183
Advertising,2004,201388.6879723147
Advertising,2005,207055.49565787747
Advertising,2006,213623.88241556726
Advertising,2007,219767.3656713926
Advertising,2008,221296.61767805467
Advertising,2009,201747.75369702128
Advertising,2010,207466.89103430882
Advertising,2011,213530.50315944958
Advertising,2012,226193.33975080153
Advertising,2013,229087.61682687697
Advertising,2014,241054.9387993131
Advertising,2015,252375.95316111634
Advertising,2016,274360.52349274483
Advertising,2017,287698.83578224306
Advertising,2018,313483.71871471364
Advertising,2019,330097.52006721316
Advertising,2020,341427.66039183113
Advertising,2021,399986.7258032819
Advertising,2022,429270.1390919594
Advertising,2023,447681.6153438049
"Architectural Services, Historic Restoration",1998,1539.7887015674667
"Architectural Services, Historic Restoration",1999,1594.6463205453415
"Architectural Services, Historic Restoration",2000,1720.0483779812512
"Architectural Services, Historic Restoration",2001,1787.0669325714625
"Architectural Services, Historic Restoration",2002,1663.9341869292532
"Architectural Services, Historic Restoration",2003,1746.062122695139
"Architectural Services, Historic Restoration",2004,1837.214120038707
"Architectural Services, Historic Restoration",2005,1994.5385632993111
"Architectural Services, Historic Restoration",2006,2122.482594772434
"Architectural Services, Historic Restoration",2007,2359.383808578353
"Architectural Services, Historic Restoration",2008,2366.674726411291
"Architectural Services, Historic Restoration",2009,1892.963205765719
"Architectural Services, Historic Restoration",2010,1699.9475264528724
"Architectural Services, Historic Restoration",2011,1784.2877666865365
"Architectural Services, Historic Restoration",2012,1797.2963058052671
"Architectural Services, Historic Restoration",2013,1820.2950845005803
"Architectural Services, Historic Restoration",2014,1974.048921934542
"Architectural Services, Historic Restoration",2015,2113.7438080815673
"Architectural Services, Historic Restoration",2016,2196.5631405767635
"Architectural Services, Historic Restoration",2017,2250.0699315632064
"Architectural Services, Historic Restoration",2018,2395.2603628384154
"Architectural Services, Historic Restoration",2019,2548.844887709921
"Architectural Services, Historic Restoration",2020,2487.3356861956186
"Architectural Services, Historic Restoration",2021,2744.807692833535
"Architectural Services, Historic Restoration",2022,3014.8483200120236
"Architectural Services, Historic Restoration",2023,3101.922544215448
Landscape Architectural Services,1998,4833.023034416243
Landscape Architectural Services,1999,5090.699920334721
Landscape Architectural Services,2000,5553.3265606139
Landscape Architectural Services,2001,5879.939107640501
Landscape Architectural Services,2002,5677.467885390213
Landscape Architectural Services,2003,5792.355392303063
Landscape Architectural Services,2004,6106.327457783156
Landscape Architectural Services,2005,6718.673885121701
Landscape Architectural Services,2006,6817.686118322795
Landscape Architectural Services,2007,6703.297453050323
Landscape Architectural Services,2008,6756.043860025596
Landscape Architectural Services,2009,5648.12452719229
Landscape Architectural Services,2010,5436.075669322322
Landscape Architectural Services,2011,5586.856927505491
Landscape Architectural Services,2012,5241.65426002144
Landscape Architectural Services,2013,6743.382431272707
Landscape Architectural Services,2014,8300.356623290952
Landscape Architectural Services,2015,9715.606956041885
Landscape Architectural Services,2016,11472.349436474584
Landscape Architectural Services,2017,13488.56639904351
Landscape Architectural Services,2018,14660.379623313967
Landscape Architectural Services,2019,15695.209021104392
Landscape Architectural Services,2020,16200.387001991894
Landscape Architectural Services,2021,17905.787391101265
Landscape Architectural Services,2022,20448.21159015676
Landscape Architectural Services,2023,21134.86943314797
All Other Architectural Services,1998,18585.855703689234
All Other Architectural Services,1999,19247.977031465398
All Other Architectural Services,2000,20761.532474938354
All Other Architectural Services,2001,21570.42508697578
All Other Architectural Services,2002,20084.158429471816
All Other Architectural Services,2003,21075.384615501982
All Other Architectural Services,2004,22175.58181506839
All Other Architectural Services,2005,24074.50516761929
All Other Architectural Services,2006,25618.730346330412
All Other Architectural Services,2007,28478.077490684696
All Other Architectural Services,2008,28559.546217824383
All Other Architectural Services,2009,22837.99789890676
All Other Architectural Services,2010,20510.2176974997
All Other Architectural Services,2011,21531.11780825608
All Other Architectural Services,2012,21680.915413804614
All Other Architectural Services,2013,21960.555691163132
All Other Architectural Services,2014,23817.643218707814
All Other Architectural Services,2015,25505.634166441734
All Other Architectural Services,2016,26507.559083151933
All Other Architectural Services,2017,27155.979886525078
All Other Architectural Services,2018,28908.150152335358
All Other Architectural Services,2019,30761.754693911847
All Other Architectural Services,2020,30019.254487311548
All Other Architectural Services,2021,33126.68322745893
All Other Architectural Services,2022,36385.76861300435
All Other Architectural Services,2023,37436.90052869104
Interior Design Services,1998,7916.738137891164
Interior Design Services,1999,7877.355592732874
Interior Design Services,2000,8031.181728758482
Interior Design Services,2001,7660.632340173472
Interior Design Services,2002,7276.402776702171
Interior Design Services,2003,8379.102311382385
Interior Design Services,2004,9756.442791294523
Interior Design Services,2005,11280.611632347485
Interior Design Services,2006,13152.568143205488
Interior Design Services,2007,15315.030853456126
Interior Design Services,2008,14689.570537251357
Interior Design Services,2009,11504.601255964755
Interior Design Services,2010,11314.077328416593
Interior Design Services,2011,12227.440179185262
Interior Design Services,2012,13026.776351197042
Interior Design Services,2013,14015.280974404302
Interior Design Services,2014,16136.895321359996
Interior Design Services,2015,17914.754038188184
Interior Design Services,2016,18881.211969160122
Interior Design Services,2017,19986.953403503314
Interior Design Services,2018,21706.227054196406
Interior Design Services,2019,22927.559378269816
Interior Design Services,2020,23172.52182234838
Interior Design Services,2021,28024.631476705184
Interior Design Services,2022,31438.59199995237
Interior Design Services,2023,32848.79535627196
Industrial Design Services,1998,1591.0204660386923
