date_d,idx_austin,idx_dallas,idx_houston,idx_nashville,idx_sanantonio
31oct2016,104.9758554118205,107.5506415651973,100.5553176403316,108.1320217231031,105.177713608171
30nov2016,105.0666271962869,107.8636157293118,100.2783899469641,108.2910127580261,105.5856673956695
31dec2016,105.2770861687084,108.2296109245214,100.3237494730488,108.6807074199042,105.9880049138143
31jan2017,103.4523998592635,106.4995187683154,98.34765609209079,106.8287583960163,104.3091160408123
28feb2017,103.9528309294226,106.912197298653,98.80014847996281,107.453513218647,104.5692385529218
31mar2017,104.6213573863289,107.5851755179728,99.21102616032078,108.1540919617871,104.8446138009625
30apr2017,104.9475883759701,107.9314960512581,99.30668594252842,108.8259230820621,105.1155309051183
31may2017,105.0896018190944,108.6389308606851,99.60312317722273,109.0581861140677,105.3933049513915
30jun2017,105.1158856502277,108.937328001619,99.55563106783573,108.9000019062122,105.7618486175761
31jul2017,105.0716146032749,109.3269111854367,99.68022426681684,109.1142150658154,106.0119120182294
31aug2017,105.0076354898175,109.6360993144882,99.60637553261054,109.5210187117893,105.9597607868443
30sep2017,104.9858989345167,110.006019651055,100.4316438231815,110.110293350453,106.0487199929953
31oct2017,105.0913226697794,110.1757912842339,101.2188006851874,110.0622051034406,106.0669825418032
30nov2017,105.4998372404997,110.6619450385427,102.1490322315383,110.188533558229,106.286630991282
31dec2017,105.7096368187086,110.9874183478326,102.668077268533,110.3066321798912,106.474065390912
31jan2018,103.2974337229386,108.8062493195217,100.5188037390523,108.3584216638899,104.1925584541216
28feb2018,103.6601340089365,109.1736975330442,100.89016207371,108.7386319573455,104.6356404815156
31mar2018,103.7266417304006,109.3252371371411,100.8124405114957,108.6780825609301,104.8965414055857
30apr2018,104.1087678642086,109.6045084843916,101.0920685611497,108.6980103379757,105.027273522655
31may2018,104.3295562320493,109.6692093438972,100.9741767272649,108.7580658238826,105.0586421617626
30jun2018,104.9256200723929,110.0923876491779,101.2109966825308,109.3874690885685,105.1760978336885
31jul2018,105.3719359641824,110.4339512369087,101.284252787716,109.5595414618342,105.5531289942293
31aug2018,105.7880526394245,110.7029565146249,101.5025043552093,109.8941809510291,105.9675484799035
30sep2018,106.1594429423655,110.9016729366968,101.530248597721,109.9576434114637,106.3074674476973
31oct2018,106.6834903787984,111.4113153124981,101.6626013525754,110.9562095019057,106.6165148146793
30nov2018,107.3637891997913,111.8620910393216,101.8690298218166,111.2542693740552,106.9105074439488
31dec2018,107.7485429845109,112.4439919858812,101.8769715523556,111.6953919369527,107.060811824574
31jan2019,106.0988592352902,110.6625030014374,100.1431669895076,109.3269522149148,105.3623782877086
28feb2019,106.3809586307209,110.8505851232719,99.94288343146154,109.6528730676232,105.4121520972889
31mar2019,106.8196897865355,111.2223963929671,100.2276941460219,110.1193497631596,105.6455943018548
30apr2019,107.1079372066926,111.6032816156556,100.4431435507596,110.5682532656961,105.9756658268067
31may2019,107.5947925560554,112.0028299513952,100.868943896826,111.1523862010135,106.3876124478577
